交易編號,會員卡號,店號,交易日期,小分類名稱,貨號,貨名,數量,售價,金額,總金額,,,1/1/10
108,220,1023,00980114,310802  ,0000010022240,龍鳳4大天王日式火鍋料373g               ,1,99.00,99,371,,,
108,220,1023,00980114,311001  ,0000010003567,泰安洗選蛋-10粒                         ,1,43.00,43,371,,,
108,220,1023,00980114,320201  ,0000010076104,肉鬆派司-芝麻                           ,2,20.00,40,371,,,
108,220,1023,00980114,530101  ,0000010077942,中興特優級優健長米-4kg                  ,1,189.00,189,371,,,
109,220,1023,00980318,310601  ,0000010003421,大漢家常豆腐                            ,1,12.00,12,347,,,
109,220,1023,00980318,310802  ,0000010003652,西北手工蝦餃-120g                       ,1,39.00,39,347,,,
109,220,1023,00980318,320201  ,0000010076104,肉鬆派司-芝麻                           ,1,20.00,20,347,,,
109,220,1023,00980318,320201  ,0000010076104,肉鬆派司-芝麻                           ,1,20.00,20,347,,,
109,220,1023,00980318,320201  ,0000010076310,湯種菠蘿                                ,1,18.00,18,347,,,
109,220,1023,00980318,511103  ,0000010068063,佩登斯抗菌+防臭透明褲襪906#             ,1,53.00,53,347,,,
109,220,1023,00980318,530101  ,0000010077937,中興米花東台梗九號米_3kg                ,1,185.00,185,347,,,
110,220,1023,00980722,310808  ,0000010004057,卜蜂鹽酥雞-800g                         ,1,129.00,129,377,,,
110,220,1023,00980722,310902  ,0000010004287,小美紅豆粉粿-5支                        ,1,1.00,1,377,,,
110,220,1023,00980722,510602  ,0000010012889,泡舒抗菌洗潔精-噴                       ,1,68.00,68,377,,,
110,220,1023,00980722,530101  ,0000010070697,金墩池e圓米(一級品)4kg                  ,1,179.00,179,377,,,
111,220,1023,00980810,310103  ,0000030004877,愛之味純濃燕麥天然原味                  ,1,56.00,56,335,,,
111,220,1023,00980810,311001  ,0000010003567,泰安洗選蛋-10粒                         ,1,41.00,41,335,,,
111,220,1023,00980810,410203  ,0000010053031,可果美蕃茄醬500g                        ,1,41.00,41,335,,,
111,220,1023,00980810,420102  ,0000010009355,麥維他消化餅(中)-250g                   ,1,61.00,61,335,,,
111,220,1023,00980810,530101  ,0000010066930,三好長鮮米_4kg                          ,1,136.00,136,335,,,
112,220,1023,00990315,110402  ,0000010000531,山井日本管-75g                          ,1,33.00,33,570,,,
112,220,1023,00990315,110402  ,0000010039148,台灣松本魚板                            ,1,78.00,78,570,,,
112,220,1023,00990315,310802  ,0000010003652,西北手工蝦餃-120g                       ,1,35.00,35,570,,,
112,220,1023,00990315,310802  ,0000010003651,西北手工魚餃-100g                       ,1,35.00,35,570,,,
112,220,1023,00990315,310802  ,0000010003667,桂冠燕餃                                ,1,35.00,35,570,,,
112,220,1023,00990315,320201  ,0000010076104,肉鬆派司-芝麻                           ,1,19.00,19,570,,,
112,220,1023,00990315,320201  ,0000010076104,肉鬆派司-芝麻                           ,1,20.00,20,570,,,
112,220,1023,00990315,420101  ,0000030013412,莊家芝麻方塊酥430g                      ,1,61.00,61,570,,,
112,220,1023,00990315,510101  ,0000010012692,五月花平版衛生紙-320張*6入              ,1,96.00,96,570,,,
112,220,1023,00990315,530101  ,0000030013383,金墩三星正港台灣米-4kg                  ,1,158.00,158,570,,,
113,220,1023,00990822,310201  ,0000010078265,統一AB無糖優酪乳900ml                   ,1,66.00,66,1243,,,
113,220,1023,00990822,310202  ,0000010001817,養樂多(10入)-100cc                      ,1,80.00,80,1243,,,
113,220,1023,00990822,310606  ,0000010069245,信州米味噌500g                          ,1,128.00,128,1243,,,
113,220,1023,00990822,310902  ,0000010004393,義美紅豆牛奶冰棒-5入                    ,1,1.00,1,1243,,,
113,220,1023,00990822,410601  ,0000010060319,統一鮮蝦麵*5入                          ,1,57.00,57,1243,,,
113,220,1023,00990822,420102  ,0000010010227,麗滋香草三明治餅乾-87g                  ,1,35.00,35,1243,,,
113,220,1023,00990822,420102  ,0000010010227,麗滋香草三明治餅乾-87g                  ,1,35.00,35,1243,,,
113,220,1023,00990822,420102  ,0000010010227,麗滋香草三明治餅乾-87g                  ,1,35.00,35,1243,,,
113,220,1023,00990822,420102  ,0000010025843,YU-Ki起士夾心餅_160g                    ,1,45.00,45,1243,,,
113,220,1023,00990822,420102  ,0000010039610,喜年來蛋捲經濟包-216g                   ,1,59.00,59,1243,,,
113,220,1023,00990822,420102  ,0000010039610,喜年來蛋捲經濟包-216g                   ,1,59.00,59,1243,,,
113,220,1023,00990822,420102  ,0000010024155,格力高巧克力棒_50g                      ,1,32.00,32,1243,,,
113,220,1023,00990822,420103  ,0000010059070,自然之顏紫菜蘇打餅量販包-330g           ,1,69.00,69,1243,,,
113,220,1023,00990822,420103  ,0000010078201,義美健康取向蘇打餅乾(袋裝)_342g         ,1,75.00,75,1243,,,
113,220,1023,00990822,420103  ,0000010078202,義美全麥健康蘇打餅乾(袋裝)_342g         ,1,75.00,75,1243,,,
113,220,1023,00990822,420301  ,0000010010033,宜蘭旺旺仙貝-大 112g                    ,1,36.00,36,1243,,,
113,220,1023,00990822,420301  ,0000010010041,浪味雪月米果-12枚                       ,1,36.00,36,1243,,,
113,220,1023,00990822,420302  ,0000010071475,多力多滋(超濃起司)-110g                 ,1,35.00,35,1243,,,
113,220,1023,00990822,510907  ,0000010056665,普渡旗                                  ,2,3.00,6,1243,,,
113,220,1023,00990822,510907  ,0000010037715,好兄弟金                                ,1,52.00,52,1243,,,
113,220,1023,00990822,510907  ,0000010037715,好兄弟金                                ,1,52.00,52,1243,,,
113,220,1023,00990822,530101  ,0000030013970,金墩優池米四星-存氮包3kg                ,1,175.00,175,1243,,,
114,220,1023,00991106,110402  ,0000010039148,台灣松本魚板                            ,1,78.00,78,582,,,
114,220,1023,00991106,120502  ,0000000020931,澳洲牛肉火鍋肉片(美淇)                  ,1,66.00,66,582,,,
114,220,1023,00991106,120503  ,0000000020930,澳洲羊肉火鍋肉片(美淇)                  ,1,70.00,70,582,,,
114,220,1023,00991106,310804  ,0000030013286,喜得爆漿奶油餐包(低脂)10入              ,1,52.00,52,582,,,
114,220,1023,00991106,530101  ,0000010077937,中興米花東台梗九號米_3kg                ,1,158.00,158,582,,,
114,220,1023,00991106,530101  ,0000010077937,中興米花東台梗九號米_3kg                ,1,158.00,158,582,,,
460,17,1023,00981105,110401  ,0000000003029,台灣基隆甜不辣-條                       ,1,41.00,41,980,,,
460,17,1023,00981105,220801  ,0000000004134,台灣巨峰葡萄16入(盒)                    ,1,49.00,49,980,,,
460,17,1023,00981105,310601  ,0000010003411,中華火鍋豆腐                            ,2,13.00,26,980,,,
460,17,1023,00981105,310601  ,0000010003407,中華超嫩豆腐                            ,2,13.00,26,980,,,
460,17,1023,00981105,310701  ,0000030007361,偉豐聯合油麵                            ,1,28.00,28,980,,,
460,17,1023,00981105,410203  ,0000010006600,可果美蕃茄醬(大)-700g                   ,1,58.00,58,980,,,
460,17,1023,00981105,410203  ,0000010040950,岡山安安蒜蓉辣椒-380g                   ,1,69.00,69,980,,,
460,17,1023,00981105,410206  ,0000010006683,真好家花椒粒 40G                        ,1,28.00,28,980,,,
460,17,1023,00981105,410206  ,0000010007016,小磨坊茶葉蛋滷包45g                     ,1,42.00,42,980,,,
460,17,1023,00981105,410305  ,0000010006811,日正柴魚 -15g                           ,1,29.00,29,980,,,
460,17,1023,00981105,410901  ,0000010046331,聖誕老人維他命麥精片 320g               ,1,75.00,75,980,,,
460,17,1023,00981105,411307  ,0000030004298,美粒果柳橙汁500ml PET                   ,1,19.00,19,980,,,
460,17,1023,00981105,420503  ,0000010010122,家樂氏格格脆_230g                       ,2,99.00,198,980,,,
460,17,1023,00981105,420503  ,0000010010123,家樂氏香蜜玉米片(小)                    ,1,89.00,89,980,,,
460,17,1023,00981105,510906  ,0000010056355,MATSUSEI背心袋 10KG                     ,1,2.00,2,980,,,
460,17,1023,00981105,510906  ,0000010056355,MATSUSEI背心袋 10KG                     ,1,2.00,2,980,,,
460,17,1023,00981105,530101  ,0000010021539,金墩米 4.5kg                            ,1,199.00,199,980,,,
533,569,1023,00980114,110404  ,0000000007474,台灣深坑手工豆腐(條形)                  ,1,26.00,26,859,,,
533,569,1023,00980114,120103  ,0000000006155,台灣豚梅花肉片                          ,1,47.00,47,859,,,
533,569,1023,00980114,120202  ,0000000006287,台灣黃金雞棒棒腿                        ,1,125.00,125,859,,,
533,569,1023,00980114,210101  ,0000010001070,台灣菠菜                                ,1,20.00,20,859,,,
533,569,1023,00980114,210301  ,0000000003957,台灣毛豆仁                              ,1,35.00,35,859,,,
533,569,1023,00980114,210301  ,0000000004188,台灣大白菜(粒)                          ,1,26.00,26,859,,,
533,569,1023,00980114,210702  ,0000010001179,紅豆400G                                ,1,53.00,53,859,,,
533,569,1023,00980114,220101  ,0000000010221,台灣香蕉                                ,1,50.00,50,859,,,
533,569,1023,00980114,310802  ,0000010022170,雅方火鍋大豆皮200g                      ,1,55.00,55,859,,,
533,569,1023,00980114,410204  ,0000010006748,台糖二砂-中1kg                          ,1,27.00,27,859,,,
533,569,1023,00980114,410505  ,0000010005265,黃日香麻油辣腐乳 300G                   ,1,46.00,46,859,,,
533,569,1023,00980114,530101  ,0000010021565,池農池上米-5kg                          ,1,349.00,349,859,,,
534,569,1023,00980123,310807  ,0000010003938,龍門什錦蔬菜-500g                       ,1,45.00,45,429,,,
534,569,1023,00980123,311001  ,0000010045048,古早蛋(10粒)-L                          ,1,85.00,85,429,,,
534,569,1023,00980123,530101  ,0000010021565,池農池上米-5kg                          ,1,299.00,299,429,,,
535,569,1023,00980215,210101  ,0000010001070,台灣菠菜                                ,1,19.00,19,799,,,
535,569,1023,00980215,210301  ,0000000003960,台灣四季豆                              ,1,25.00,25,799,,,
535,569,1023,00980215,210501  ,0000010001067,台灣青蔥                                ,1,25.00,25,799,,,
535,569,1023,00980215,210702  ,0000010001179,紅豆400G                                ,1,59.00,59,799,,,
535,569,1023,00980215,311003  ,0000010037444,e-能健機能卵-10入                       ,1,73.00,73,799,,,
535,569,1023,00980215,530101  ,0000010021565,池農池上米-5kg                          ,2,299.00,598,799,,,
536,569,1023,00980331,120201  ,0000000006275,台灣黃金雞雞里肌                        ,1,66.00,66,910,,,
536,569,1023,00980331,120202  ,0000000006287,台灣黃金雞棒棒腿                        ,1,119.00,119,910,,,
536,569,1023,00980331,210102  ,0000010034902,台灣有機菠菜                            ,1,39.00,39,910,,,
536,569,1023,00980331,210201  ,0000000003452,台灣馬鈴薯                              ,1,22.00,22,910,,,
